district,slug
गुल्मी,gulmi
उदयपुर,udayapur
झापा,jhapa
तनहुँ,tanahun
पाँचथर,pachthar
जुम्ला,jumla
धनकुटा,dhankuta
काभ्रेपलाञ्चोक,kavrepalanchok
जाजरकोट,jajarkot
बारा,bara
सिन्धुपाल्चोक,sindhupalchok
ताप्लेजुङ,taplejung
भक्तपुर,bhaktapur
कैलाली,kailali
दैलेख,dailekh
पर्सा,parsa
नवलपरासी (बर्दघाट सुस्ता पश्चिम),nawalpur
बझाङ,bajhang
ललितपुर,lalitpur
बाँके,banke
नवलपरासी (बर्दघाट सुस्ता पूर्व),parasi
ओखलढुंगा,okhaldhunga
कास्की,kaski
सिराहा,siraha
मनाङ,manang
सुर्खेत,surkhet
प्यूठान,pyuthan
सोलुखुम्बु,solukhumbu
हुम्ला,humla
भोजपुर,bhojpur
मुस्ताङ,mustang
अछाम,acham
कञ्चनपुर,kanchanpur
पर्वत,parwat
सिन्धुली,sindhuli
बर्दिया,bardiya
रोल्पा,rolpa
रसुवा,rasuwa
मोरङ,morang
लमजुङ,lamjung
दार्चुला,darchula
स्याङजा,syangja
रौतहट,rautahat
डडेलधुरा,dadeldhura
संखुवासभा,sankhuwasabha
रुकुम (पूर्वी भाग),eastern-rukum
सप्तरी,saptari
खोटाङ,khotang
बाग्लुङ,baglung
बाजुरा,bajura
अर्घाखाँची,arghakhanchi
रामेछाप,ramechap
सल्यान,salyan
रूपन्देही,rupandehi
कपिलबस्तु,kapilvastu
कालिकोट,kalikot
सर्लाही,sarlahi
रुकुम (पश्चिम भाग),western-rukum
डोटी,doti
मकवानपुर,makwanpur
तेह्रथुम,terhathum
दाङ,dang
धादिङ,dhading
पाल्पा,palpa
चितवन,chitwan
महोत्तरी,mahottari
डोल्पा,dolpa
मुगु,mugu
नुवाकोट,nuwakot
काठमाडौं,kathmandu
इलाम,ilam
म्याग्दी,myagdi
दोलखा,dolakha
सुनसरी,sunsari
धनुषा,dhanusha
बैतडी,baitadi
गोरखा,gorkha
