party,slug
इतिहासिक जनता पार्टी,historic-peoples-party
नेपाल जनमुक्ति पार्टी,nepal-janamukti-party
समावेशी समाजवादी पार्टी नेपाल,inclusive-socialist-party-nepal
नेपाल कम्युनिष्ट पार्टी मार्क्सवादी (पुष्पलाल),nepal-communist-party-marxist-pushpalal
राष्ट्रिय साझा पार्टी,national-common-party
"जनता समाजवादी पार्टी, नेपाल",janata-samajwadi-party-nepal
राष्ट्रिय जनमत पार्टी,rastriya-janamat-party
राष्ट्रिय परिवर्तन पार्टी,rastriya-parivartan-party
नेपाल सद्भावना पार्टी,nepal-sadbhawana-party
राष्ट्रिय जनमोर्चा,rastriya-janamorcha
नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),communist-party-of-nepal-unified-marxist-leninist
नेपाल कम्युनिष्ट पार्टी (माक्र्सवादी),nepal-communist-party-marxist
नेपाल संघीय समाजवादी पार्टी,nepal-federal-socialist-party
पिपुल फर्ष्ट पार्टी,people-first-party
संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,federal-democratic-national-forum
समावेशी समाजवादी पार्टी,samaveshi-samajwadi-party
नेपाल जनता संरक्षण पार्टी,nepal-janata-sanrakshan-party
उज्यालो नेपाल पार्टी,ujyalo-nepal-party
गतिशील लोकतान्त्रिक पार्टी,gatishil-loktantrik-party
"जनता लोकतान्त्रिक पार्टी, नेपाल",janata-loktantrik-party-nepal
नेपाली काँग्रेस,nepali-congress
नागरिक सर्वोच्चता पार्टी नेपाल,nagarik-sarwochhata-party-nepal
प्रजातान्त्रिक पार्टी नेपाल,democratic-party-nepal
राष्ट्र निर्माण दल नेपाल,rastra-nirman-party-nepal
नेपाल मातृभूमि पार्टी,nepal-motherland-party
नेपाल मजदुर किसान पार्टी,nepal-workers-peasants-party
बहुजन शक्ति पार्टी,bahujan-shakti-party
नेपाल कम्युनिस्ट पार्टी (माओवादी),nepal-communist-party-maoist
नेपाल लोकतान्त्रिक पार्टी,nepal-loktantrik-party
नेपालका लागि नेपाली पार्टी,nepali-for-nepal-party
जन अधिकार पार्टी,jan-adhikaar-party
राष्ट्रिय स्वतन्त्र पार्टी,national-independent-party
"राष्ट्रिय मुक्ति आन्दोलन, नेपाल",national-liberation-movement-nepal
बहुजन एकता पार्टी नेपाल,bahujan-ekata-party-nepal
राष्ट्रिय नागरिक पार्टी,national-citizen-party
गान्धीवादी पार्टी नेपाल,gandhibadi-party-nepal
राष्ट्रिय जनमुक्ति पार्टी,rastriya-janamukti-party
युनाईटेड नेपाल डिमोक्रयाटीक पार्टी,united-nepal-democratic-party
मितेरी पार्टी नेपाल,miteri-party-nepal
"राष्ट्रिय उर्जाशील पार्टी, नेपाल",rastriya-urjashil-party-nepal
राष्ट्रिय प्रजातन्त्र पार्टी,national-democratic-party
नेपाली जनता दल,nepali-janata-dal
जनता समाजवादी पार्टी,janata-samajbadi-party
संयुक्त नागरिक पार्टी,united-citizen-party
नेपाल मानवतावादी पार्टी,nepal-humanist-party
"नागरिक उन्मुक्ति पार्टी, नेपाल",nagarik-unmukti-party-nepal
जय मातृभूमि पार्टी,jaya-matribhumi-party
नेशनल रिपब्लिक नेपाल,national-republic-nepal
मंगोल नेशनल अर्गनाइजेसन,mongol-national-organization
प्रगतिशील लोकतान्त्रिक पार्टी,nepal-socialist-party-naya-shakti
नेपाल जनता पार्टी,nepal-janata-party
आम जनता पार्टी,aam-janata-party
स्वाभिमान पार्टी,swabhiman-party
राष्ट्रिय मुक्ति पार्टी नेपाल,national-liberation-party-nepal
जनादेश पार्टी नेपाल,janadesh-party-nepal
राष्ट्रिय जनता पार्टी नेपाल,rastriya-janata-party-nepal
जनमत पार्टी,janamat-party
त्रिमूल नेपाल,bimal-nepal
नेपाली कम्युनिष्ट पार्टी,nepali-communist-party
सार्वभौम नागरिक पार्टी,sarvabhaum-nagarik-party
श्रम संस्कृति पार्टी,shram-sanskriti-party
नेपाल जनसेवा पार्टी,nepal-janasewa-party
नेपाल कम्युनिष्ट पार्टी (संयुक्त),nepal-communist-party-united
नेपाली जनश्रमदान संस्कृति पार्टी,nepali-janashramdan-sanskriti-party
राष्ट्रिय एकता दल,national-unity-party
